id,customer_message,intent,expected_action,expected_reason,difficulty,source_conversation_id
gold_001,My iPhone 7 battery is draining 1% every two minutes since updating to iOS 11. Can you help?,battery_power_issue,auto,Standard battery drain troubleshooting link and settings check.,easy,conv_gold_001
gold_002,Phone gets burning hot while plugged into the original wall charger and shuts down.,battery_power_issue,escalate,Safety hazard / potential hardware thermal overload.,high_risk,conv_gold_002
gold_003,Why does my battery jump from 40% straight to 1% and then die?,battery_power_issue,auto,Battery calibration / battery health advisory.,medium,conv_gold_003
gold_004,My iPad Pro won't charge past 80% no matter how long it stays plugged in.,battery_power_issue,auto,Optimized battery charging guidance.,easy,conv_gold_004
gold_005,Battery health says 74% and Service recommended. How do I get it replaced?,battery_power_issue,auto,Battery replacement service booking details.,easy,conv_gold_005
gold_006,Phone dies at 30% when I'm outside in cold weather.,battery_power_issue,auto,Cold weather lithium-ion operating temperature guidance.,medium,conv_gold_006
gold_007,The back of my iPhone is swelling and pushing the screen out from the frame!,battery_power_issue,escalate,Swollen battery physical safety risk; immediate hardware service.,high_risk,conv_gold_007
gold_008,Is fast charging supported on the iPhone 8 with standard iPad 12W brick?,battery_power_issue,auto,Power adapter compatibility specifications.,easy,conv_gold_008
gold_009,My iPhone battery indicator is stuck on 100% all day even after heavy usage.,battery_power_issue,auto,Software reboot / battery sensor reset instructions.,medium,conv_gold_009
gold_010,Charger cable sparked and now the lightning port smells like smoke.,battery_power_issue,escalate,Electrical/fire hazard requiring urgent physical hardware inspection.,high_risk,conv_gold_010
gold_011,Can you check why Settings > Battery says 'Background Activity' took 60% battery for YouTube?,battery_power_issue,auto,Background app refresh settings guidance.,easy,conv_gold_011
gold_012,Does low power mode turn off automatic mail fetch?,battery_power_issue,auto,Low Power Mode feature explanation.,easy,conv_gold_012
gold_013,"My phone won't turn on at all, black screen, tried charging for 3 hours with 3 different cables.",battery_power_issue,escalate,Complete power failure requiring hardware diagnostic or Genius Bar.,hard,conv_gold_013
gold_014,Is it normal for a brand new iPhone X to lose 10% overnight on standby?,battery_power_issue,auto,Standby power optimization tips.,easy,conv_gold_014
gold_015,Battery widget is not showing battery level for my connected Bluetooth headphones.,battery_power_issue,auto,Widget troubleshooting / Bluetooth device pairing reset.,medium,conv_gold_015
gold_016,How many charge cycles before iPhone battery capacity drops below 80%?,battery_power_issue,auto,Battery lifecycle technical specification.,easy,conv_gold_016
gold_017,Wireless charging pad keeps stopping and flashing blue after 5 minutes.,battery_power_issue,auto,Qi wireless charging alignment and case thickness advice.,medium,conv_gold_017
gold_018,My phone is dropping battery fast and my screen is also flickering green lines.,battery_power_issue,escalate,Dual symptom: battery + hardware display failure.,hard,conv_gold_018
gold_019,Is there a recall program for iPhone 6s unexpected shutdown issues?,battery_power_issue,auto,Apple Quality Program serial number check advisory.,medium,conv_gold_019
gold_020,Turned on Low Power Mode and my phone feels extremely laggy and slow.,battery_power_issue,auto,CPU throttling explanation under Low Power Mode.,easy,conv_gold_020
