id,customer_message,intent,expected_action,difficulty,groundedness,correctness,helpfulness,actionability,tone,annotator_id,notes
gold_041,My Apple ID is locked for security reasons and I can't receive verification SMS codes.,account_security_issue,escalate,high_risk,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for account_security_issue.
gold_042,"I got an email saying my Apple ID was logged into from Moscow, Russia. I am in Ohio!",account_security_issue,escalate,high_risk,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for account_security_issue.
gold_043,How do I turn on Two-Factor Authentication on my iPhone?,account_security_issue,auto,easy,5,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for account_security_issue.
gold_044,Forgot my Apple ID password and lost access to my trusted phone number.,account_security_issue,escalate,hard,4,4,3,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for account_security_issue.
gold_045,Someone hacked my iCloud and is threatening to wipe my phone unless I pay them Bitcoin!,account_security_issue,escalate,high_risk,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for account_security_issue.
gold_121,App Store keeps giving error 'Cannot connect to App Store' when I open it.,app_store_app_issue,auto,easy,5,4,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for app_store_app_issue.
gold_122,WhatsApp closes immediately every time I tap the app icon.,app_store_app_issue,auto,easy,4,4,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for app_store_app_issue.
gold_123,Apps are stuck on 'Waiting...' with dark icon and won't resume download.,app_store_app_issue,auto,easy,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for app_store_app_issue.
gold_124,How do I change my App Store country/region from UK to US?,app_store_app_issue,auto,medium,3,4,4,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for app_store_app_issue.
gold_125,App Store asks for Touch ID / password for every single free app download.,app_store_app_issue,auto,easy,4,5,5,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for app_store_app_issue.
gold_161,People cannot hear me when I speak on phone calls unless I switch to speakerphone.,audio_media_issue,auto,easy,5,4,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for audio_media_issue.
gold_162,Top receiver ear speaker is extremely muffled during calls on iPhone 7.,audio_media_issue,auto,easy,5,5,5,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for audio_media_issue.
gold_163,Songs on Apple Music keep pausing randomly after 15 seconds of playback.,audio_media_issue,auto,easy,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for audio_media_issue.
gold_164,One side of my AirPods (left earbud) has zero sound and won't charge in case.,audio_media_issue,auto,easy,4,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for audio_media_issue.
gold_165,My phone is stuck in 'Headphones' mode even though nothing is plugged in.,audio_media_issue,auto,medium,4,4,4,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for audio_media_issue.
gold_001,My iPhone 7 battery is draining 1% every two minutes since updating to iOS 11. Can you help?,battery_power_issue,auto,easy,5,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for battery_power_issue.
